Week,Total Cases,Total Deaths,Country_ID,Year,Disease_ID
4,31,0.0,80,2009,2
4,446,0.0,31,2009,2
4,74,0.0,17,2009,2
4,12,0.0,34,2009,2
4,4,0.0,81,2009,2
4,150,0.0,74,2009,2
4,2,0.0,101,2009,2
4,728,0.0,6,2009,2
4,17,0.0,58,2009,2
4,5,0.0,7,2009,2
4,4,0.0,26,2009,2
4,2114,0.0,8,2009,2
4,17,0.0,82,2009,2
4,44,0.0,102,2009,2
4,207,0.0,27,2009,2
4,138,0.0,9,2009,2
4,2655,0.0,11,2009,2
4,86,0.0,75,2009,2
4,4,0.0,103,2009,2
4,92,0.0,59,2009,2
4,4,0.0,83,2009,2
4,13,0.0,76,2009,2
4,10810,4.0,12,2009,2
4,82202,305.0,13,2009,2
4,462,0.0,60,2009,2
4,3,0.0,104,2009,2
4,419,0.0,77,2009,2
4,181,0.0,14,2009,2
4,30,0.0,84,2009,2
4,21,0.0,85,2009,2
5,14,0.0,86,2009,2
5,8,0.0,87,2009,2
5,7147,135.0,35,2009,2
5,17994,33.0,15,2009,2
5,61,0.0,36,2009,2
5,23,0.0,61,2009,2
5,60,0.0,37,2009,2
5,32,0.0,88,2009,2
5,44,0.0,62,2009,2
5,193,0.0,16,2009,2
5,1030,0.0,63,2009,2
5,2,0.0,105,2009,2
5,2606,3.0,18,2009,2
5,267,0.0,89,2009,2
5,37,0.0,28,2009,2
5,26,0.0,90,2009,2
5,31724,96.0,0,2009,2
5,12,0.0,91,2009,2
5,26149,47.0,38,2009,2
5,6814,0.0,1,2009,2
5,400,8.0,32,2009,2
5,1,0.0,106,2009,2
5,1038,8.0,39,2009,2
5,8,0.0,92,2009,2
5,1,0.0,107,2009,2
5,238,0.0,40,2009,2
5,252,0.0,64,2009,2
5,48,0.0,41,2009,2
5,228,0.0,42,2009,2
5,4,0.0,65,2009,2
5,432,8.0,43,2009,2
5,655,0.0,44,2009,2
5,262,0.0,66,2009,2
5,1024,0.0,45,2009,2
5,52,0.0,67,2009,2
5,10,0.0,93,2009,2
5,8,0.0,94,2009,2
5,142,0.0,33,2009,2
5,1169,0.0,2,2009,2
5,1758,0.0,3,2009,2
5,261634,1143.0,46,2009,2
5,438,0.0,47,2009,2
5,1048,8.0,48,2009,2
5,2,0.0,108,2009,2
5,482,4.0,49,2009,2
5,40,0.0,68,2009,2
5,16,0.0,50,2009,2
5,401,0.0,20,2009,2
5,44,0.0,21,2009,2
5,4,0.0,95,2009,2
5,44,0.0,109,2009,2
5,205,0.0,4,2009,2
5,2233,0.0,51,2009,2
5,511,0.0,5,2009,2
5,117,0.0,69,2009,2
5,5714,0.0,22,2009,2
